Time [ms];;;;IR RAW;RED RAW
19;10;29,255;0,012;47242;47415
19;10;29,267;0,012;47244;47404
19;10;29,278;0,011;47243;47422
19;10;29,29;0,012;47260;47434
19;10;29,302;0,012;47269;47433
19;10;29,314;0,012;47270;47422
19;10;29,325;0,011;47285;47444
19;10;29,336;0,011;47300;47462
19;10;29,348;0,012;47323;47463
19;10;29,36;0,012;47337;47453
19;10;29,372;0,012;47340;47459
19;10;29,384;0,012;47358;47470
19;10;29,395;0,011;47366;47470
19;10;29,407;0,012;47382;47472
19;10;29,419;0,012;47405;47494
19;10;29,431;0,012;47414;47495
19;10;29,442;0,011;47427;47521
19;10;29,454;0,012;47421;47518
19;10;29,466;0,012;47424;47513
19;10;29,478;0,012;47438;47527
19;10;29,488;0,01;47446;47528
19;10;29,502;0,014;47469;47542
19;10;29,513;0,011;47461;47541
19;10;29,524;0,011;47470;47553
19;10;29,535;0,011;47475;47546
19;10;29,548;0,013;47488;47550
19;10;29,56;0,012;47516;47545
19;10;29,571;0,011;47538;47568
19;10;29,582;0,011;47515;47564
19;10;29,595;0,013;47527;47566
19;10;29,607;0,012;47544;47578
19;10;29,619;0,012;47562;47571
19;10;29,629;0,01;47568;47589
19;10;29,641;0,012;47565;47579
19;10;29,653;0,012;47572;47605
19;10;29,665;0,012;47602;47608
19;10;29,677;0,012;47593;47595
19;10;29,688;0,011;47613;47614
19;10;29,7;0,012;47626;47639
19;10;29,712;0,012;47668;47646
19;10;29,724;0,012;47679;47652
19;10;29,736;0,012;47665;47658
19;10;29,747;0,011;47677;47655
19;10;29,759;0,012;47711;47654
19;10;29,77;0,011;47714;47669
19;10;29,783;0,013;47710;47659
19;10;29,794;0,011;47671;47630
19;10;29,806;0,012;47592;47579
19;10;29,818;0,012;47469;47539
19;10;29,829;0,011;47373;47483
19;10;29,841;0,012;47277;47423
19;10;29,853;0,012;47238;47431
19;10;29,865;0,012;47218;47409
19;10;29,877;0,012;47196;47396
19;10;29,888;0,011;47197;47407
19;10;29,9;0,012;47189;47426
19;10;29,913;0,013;47215;47426
19;10;29,924;0,011;47231;47418
19;10;29,935;0,011;47233;47425
19;10;29,948;0,013;47248;47435
19;10;29,96;0,012;47273;47422
19;10;29,97;0,01;47280;47438
19;10;29,983;0,013;47289;47444
19;10;29,995;0,012;47288;47451
19;10;30,06;0,065;47306;47453
19;10;30,18;0,12;47314;47458
19;10;30,29;0,11;47334;47460
19;10;30,41;0,12;47302;47466
19;10;30,53;0,12;47343;47462
19;10;30,65;0,12;47343;47459
19;10;30,77;0,12;47327;47446
19;10;30,88;0,11;47312;47446
19;10;30,1;-0,78;47319;47446
19;10;30,112;0,012;47286;47463
19;10;30,124;0,012;47311;47435
19;10;30,135;0,011;47304;47450
19;10;30,147;0,012;47303;47477
19;10;30,159;0,012;47310;47474
